workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
moderate,No_Energy,26,0.74,1.630600073253544,0.5338972614318901,67.86089570081471
moderate,No_Energy,27,0.78,1.5656365752793133,0.40587033008644324,59.00252798490885
moderate,No_Energy,28,0.83,1.471738463997442,0.34519096729449594,57.02094806471149
moderate,No_Energy,29,0.78,1.5238782506915722,0.38767224652149723,64.32840938321745
moderate,No_Energy,30,0.7,1.6455674554293884,0.418696078866656,60.52641633975628
heavy,AHDETS,1,0.82,1.2830534170187093,0.630857971137601,66.78741768551164
heavy,AHDETS,2,0.86,1.0978072904769889,0.7448189048248752,66.0794488410715
heavy,AHDETS,3,0.87,1.0296688073602593,0.7555431313548293,62.182153469511604
heavy,AHDETS,4,0.74,1.3516094307062552,0.7809446456599549,66.21884261319609
heavy,AHDETS,5,0.82,0.9404109029018589,0.6953262642862469,56.007042926722306
heavy,AHDETS,6,0.87,0.9646882110881465,0.7349346420864737,62.954858380793084
heavy,AHDETS,7,0.84,1.1619758548002133,0.6969611215350914,66.20799024049066
heavy,AHDETS,8,0.85,1.2329273909957963,0.7561853544051959,65.68847406443533
heavy,AHDETS,9,0.92,1.0001938273217512,0.6882666885342887,59.92946867681256
heavy,AHDETS,10,0.8,1.0290405201659134,0.733027431727587,56.0043638687587
heavy,AHDETS,11,0.9,0.9884491484844518,0.689673220464339,57.95639076611981
heavy,AHDETS,12,0.88,0.818158943292781,0.6313346432158112,55.946505237546816
heavy,AHDETS,13,0.91,0.9739384303094271,0.7129842686361619,60.706352761749585
heavy,AHDETS,14,0.86,0.987206126442086,0.6502066013434166,59.4533726464518
heavy,AHDETS,15,0.88,1.0460971219119193,0.7022202892500558,62.99969207606851
heavy,AHDETS,16,0.89,0.9101695714201853,0.6315373754962089,59.26587376538089
heavy,AHDETS,17,0.92,0.9713156643577253,0.6479944957549398,62.661445482408624
heavy,AHDETS,18,0.81,1.2360374362734512,0.7914057348279119,62.06129913822369
heavy,AHDETS,19,0.76,1.3792559050264623,0.788822654565056,67.95511687606385
heavy,AHDETS,20,0.92,0.8239979456496755,0.6745126568512217,59.37273102217195
heavy,AHDETS,21,0.92,1.1921531807836094,0.7259805605621236,70.05532263006336
heavy,AHDETS,22,0.88,1.0431258779354624,0.6244022069026215,57.743905704449816
heavy,AHDETS,23,0.95,0.8714733405670121,0.6712905013392964,65.37366611875034
heavy,AHDETS,24,0.87,1.368321609841702,0.6268161313910634,64.87651540063571
heavy,AHDETS,25,0.84,1.120379109607865,0.7099307221940809,59.54210468784186
heavy,AHDETS,26,0.76,1.4016773340673954,0.7691737897968955,68.23327455039467
heavy,AHDETS,27,0.84,1.3060754431735526,0.7898734032870158,65.20296800597279
heavy,AHDETS,28,0.88,1.129263848002317,0.6256399990773007,60.08954625771095
heavy,AHDETS,29,0.79,1.1284691589908775,0.7357646960192207,64.0981629929101
heavy,AHDETS,30,0.88,1.0016900566318958,0.7930332963551008,61.83920528603912
heavy,No_Deadline,1,0.85,1.0022417820688494,0.6811024623992855,66.2526767207957
heavy,No_Deadline,2,0.81,0.9731137220653112,0.7987122895704205,66.68012714464568
heavy,No_Deadline,3,0.93,0.7978800948534244,0.7973215814205167,63.1202541866962
